AirBnB ID,Bedrooms,Bathrooms,Revenue,Occupancy Rate,ADR,Days Available,Lat,Lng
46759293,5,5.5,2030442.44,71.83,9953.15,284,25.10363405,55.14924962
22310925,5,6,1708106.85,67.81,8626.8,292,25.104,55.14785
745736607553255644,4,5.5,1474491.59,43.02,13283.71,258,25.1116577,55.1304098
1099975499031736708,7,7.5,1431923.61,61.41,7496.98,311,25.13507,55.1386
53405876,5,5.5,1291083.12,62.35,8120.02,255,25.0991,55.1252
758528236780875964,6,10.5,1285809.41,58.8,7264.46,301,25.11356,55.13106
1094803200886730761,6,5.5,1183320.86,72.43,7634.33,214,25.13276212,55.13733785
757801810236222307,5,5.5,1175413.97,57.6,5966.57,342,25.11258985,55.13052376
44388560,8,7.5,1140080.81,50.19,8702.91,261,25.12743,55.1341
1036598840002409071,6,6.5,1136661.71,72.22,6725.81,234,25.11872,55.12292
681026428070063125,3,3,1077765.78,56.83,6821.3,278,25.10426113,55.14855355
48163346,6,6,1067482.77,51.05,7311.53,286,25.10791016,55.12999725
1253407495091123317,3,3,905275.66,60.24,4595.31,327,25.10433,55.14877
,7,6.5,896935.41,46.15,8304.96,234,25.12522,55.13235
16718415,6,6.5,863971.02,58.82,5399.82,272,25.09885,55.12541
687968798670084941,5,4.5,863449.53,58.07,4211.95,353,25.12022395,55.13087136
607480399920434717,5,5.5,859578.71,65.45,5969.3,220,25.11714,55.12021
966361041615420549,6,8,822350.54,48.21,6796.29,251,25.11247511,55.13106078
46759293,5,5.5,2030440.23,71.83,9953.14,284,25.10363405,55.14924962
22310925,5,6,1708104.99,67.81,8626.79,292,25.104,55.14785
745736607553255644,4,5.5,1474489.99,43.02,13283.69,258,25.1116577,55.1304098
1099975499031736708,7,7.5,1431922.05,61.41,7496.97,311,25.13507,55.1386
53405876,5,5.5,1291081.71,62.35,8120.01,255,25.0991,55.1252
758528236780875964,6,10.5,1285808,58.8,7264.45,301,25.11356,55.13106
1094803200886730761,6,5.5,1183319.58,72.43,7634.32,214,25.13276212,55.13733785
757801810236222307,5,5.5,1175412.68,57.6,5966.56,342,25.11258985,55.13052376
44388560,8,7.5,1140079.57,50.19,8702.9,261,25.12743,55.1341
1036598840002409071,6,6.5,1136660.48,72.22,6725.8,234,25.11872,55.12292
681026428070063125,3,3,1077764.61,56.83,6821.29,278,25.10426113,55.14855355
48163346,6,6,1067481.61,51.05,7311.52,286,25.10791016,55.12999725
1253407495091123317,3,3,905274.68,60.24,4595.3,327,25.10433,55.14877
,7,6.5,896934.43,46.15,8304.95,234,25.12522,55.13235
16718415,6,6.5,863970.08,58.82,5399.81,272,25.09885,55.12541
687968798670084941,5,4.5,863448.58,58.07,4211.94,353,25.12022395,55.13087136
607480399920434717,5,5.5,859577.77,65.45,5969.29,220,25.11714,55.12021
966361041615420549,6,8,822349.65,48.21,6796.28,251,25.11247511,55.13106078
46759293,5,5.5,2030442.44,71.83,9953.15,284,25.10363405,55.14924962
22310925,5,6,1708106.85,67.81,8626.8,292,25.104,55.14785
745736607553255644,4,5.5,1474491.59,43.02,13283.71,258,25.1116577,55.1304098
1099975499031736708,7,7.5,1431923.61,61.41,7496.98,311,25.13507,55.1386
53405876,5,5.5,1291083.12,62.35,8120.02,255,25.0991,55.1252
758528236780875964,6,10.5,1285809.41,58.8,7264.46,301,25.11356,55.13106
1094803200886730761,6,5.5,1183320.86,72.43,7634.33,214,25.13276212,55.13733785
757801810236222307,5,5.5,1175413.97,57.6,5966.57,342,25.11258985,55.13052376
44388560,8,7.5,1140080.81,50.19,8702.91,261,25.12743,55.1341
1036598840002409071,6,6.5,1136661.71,72.22,6725.81,234,25.11872,55.12292
681026428070063125,3,3,1077765.78,56.83,6821.3,278,25.10426113,55.14855355
48163346,6,6,1067482.77,51.05,7311.53,286,25.10791016,55.12999725
1253407495091123317,3,3,905275.66,60.24,4595.31,327,25.10433,55.14877
,7,6.5,896935.41,46.15,8304.96,234,25.12522,55.13235
16718415,6,6.5,863971.02,58.82,5399.82,272,25.09885,55.12541
687968798670084941,5,4.5,863449.53,58.07,4211.95,353,25.12022395,55.13087136
607480399920434717,5,5.5,859578.71,65.45,5969.3,220,25.11714,55.12021
966361041615420549,6,8,822350.54,48.21,6796.29,251,25.11247511,55.13106078
46759293,5,5.5,2030442.44,71.83,9953.15,284,25.10363405,55.14924962
22310925,5,6,1708106.85,67.81,8626.8,292,25.104,55.14785
745736607553255644,4,5.5,1474491.59,43.02,13283.71,258,25.1116577,55.1304098
1099975499031736708,7,7.5,1431923.61,61.41,7496.98,311,25.13507,55.1386
53405876,5,5.5,1291083.12,62.35,8120.02,255,25.0991,55.1252
758528236780875964,6,10.5,1285809.41,58.8,7264.46,301,25.11356,55.13106
