Airbnb ID,Airbnb URL,Revenue Potential,Days Available,Annual Revenue,Occupancy,Daily Rate,Bedrooms
46759293,https://www.airbnb.com/rooms/46759293,2.5m,284,2m,72,10k,
22310925,https://www.airbnb.com/rooms/22310925,2m,292,1.7m,68,8.6k,
745736607553255644,https://www.airbnb.com/rooms/745736607553255644,2m,258,1.5m,43,13.3k,
1099975499031736708,https://www.airbnb.com/rooms/1099975499031736708,1.5m,311,1.4m,61,7.5k,
53405876,https://www.airbnb.com/rooms/53405876,1.4m,255,1.3m,62,8.1k,
758528236780875964,https://www.airbnb.com/rooms/758528236780875964,1.6m,301,1.3m,59,7.3k,
1094803200886730761,https://www.airbnb.com/rooms/1094803200886730761,1.4m,214,1.2m,72,7.6k,
757801810236222307,https://www.airbnb.com/rooms/757801810236222307,1.3m,342,1.2m,58,6k,
44388560,https://www.airbnb.com/rooms/44388560,1.5m,261,1.1m,50,8.7k,
1036598840002409071,https://www.airbnb.com/rooms/1036598840002409071,1.8m,234,1.1m,72,6.7k,
681026428070063125,https://www.airbnb.com/rooms/681026428070063125,1.1m,278,1.1m,57,6.8k,3
48163346,https://www.airbnb.com/rooms/48163346,1.4m,286,1.1m,51,7.3k,
1253407495091123317,https://www.airbnb.com/rooms/1253407495091123317,964.2k,327,905.3k,60,4.6k,
426094229,,1.1m,234,896.9k,46,8.3k,
16718415,https://www.airbnb.com/rooms/16718415,1.2m,272,864k,59,5.4k,
687968798670084941,https://www.airbnb.com/rooms/687968798670084941,883.9k,353,863.4k,58,4.2k,
607480399920434717,https://www.airbnb.com/rooms/607480399920434717,1.4m,220,859.6k,65,6k,
966361041615420549,https://www.airbnb.com/rooms/966361041615420549,822.4k,251,822.4k,48,6.8k,6
1036714348,,927.1k,225,814.8k,66,5.5k,2
891163389,,895k,202,776.6k,69,5.5k,2
1041871521054454060,https://www.airbnb.com/rooms/1041871521054454060,1.3m,206,776k,63,6k,
1035346817397986983,https://www.airbnb.com/rooms/1035346817397986983,954.8k,196,759.9k,55,7k,
1161389887280809853,https://www.airbnb.com/rooms/1161389887280809853,879.6k,266,757k,69,4.1k,
1354834462785339146,https://www.airbnb.com/rooms/1354834462785339146,904.7k,190,751k,67,5.9k,
452901763,,811k,213,748.6k,79,4.4k,2
1144972440880912903,https://www.airbnb.com/rooms/1144972440880912903,771.9k,320,736.8k,79,2.9k,
1036678775573363953,https://www.airbnb.com/rooms/1036678775573363953,749.6k,215,688.2k,49,6.5k,
52545922,https://www.airbnb.com/rooms/52545922,864.3k,270,687.4k,55,4.6k,
843855629541418263,https://www.airbnb.com/rooms/843855629541418263,975.1k,247,681k,57,4.8k,
581643252219572637,https://www.airbnb.com/rooms/581643252219572637,671k,365,671k,59,3.1k,
1142432302520416572,https://www.airbnb.com/rooms/1142432302520416572,706.3k,266,667.1k,78,3.2k,
863594355293917578,https://www.airbnb.com/rooms/863594355293917578,870.4k,261,661.5k,48,5.2k,
1249766843684410513,https://www.airbnb.com/rooms/1249766843684410513,753.7k,244,641.5k,56,4.7k,
35561050,https://www.airbnb.com/rooms/35561050,676.9k,325,627.2k,55,3.5k,
1384649295138743749,https://www.airbnb.com/rooms/1384649295138743749,664.9k,186,614.2k,61,5.4k,
802661798573518434,https://www.airbnb.com/rooms/802661798573518434,763.8k,204,558.9k,76,3.6k,
1071740900635987619,https://www.airbnb.com/rooms/1071740900635987619,555.8k,365,555.5k,90,1.7k,
51997918,https://www.airbnb.com/rooms/51997918,917.2k,193,546.4k,23,12.1k,
54285816,https://www.airbnb.com/rooms/54285816,653k,251,543.3k,85,2.6k,
582315605497770881,https://www.airbnb.com/rooms/582315605497770881,562.1k,355,542.6k,81,1.9k,
613696981923953590,https://www.airbnb.com/rooms/613696981923953590,566.1k,195,541.4k,35,7.8k,
937560075364524006,https://www.airbnb.com/rooms/937560075364524006,541.2k,364,539.6k,91,1.6k,
47571895,https://www.airbnb.com/rooms/47571895,533.5k,333,530.8k,83,1.9k,
1072544427893766900,https://www.airbnb.com/rooms/1072544427893766900,623.8k,298,523.1k,88,2k,
1288385069716424400,https://www.airbnb.com/rooms/1288385069716424400,510k,313,510k,82,2k,
1359344634951592488,https://www.airbnb.com/rooms/1359344634951592488,502.7k,256,502.7k,37,5.3k,
867098721341231788,https://www.airbnb.com/rooms/867098721341231788,794k,204,502.4k,65,3.8k,
944812032621764061,https://www.airbnb.com/rooms/944812032621764061,572.7k,310,490.2k,60,2.6k,
1229516091185214739,https://www.airbnb.com/rooms/1229516091185214739,490.1k,353,490.1k,82,1.7k,
1278407077696258713,https://www.airbnb.com/rooms/1278407077696258713,548.5k,199,487.2k,85,2.9k,2
1066118050572298727,https://www.airbnb.com/rooms/1066118050572298727,488.1k,360,480.5k,86,1.5k,
933013750575713802,https://www.airbnb.com/rooms/933013750575713802,530.8k,309,478.6k,71,2.2k,
893302637950323032,https://www.airbnb.com/rooms/893302637950323032,509.4k,283,478.2k,88,1.9k,
1267983333111587448,https://www.airbnb.com/rooms/1267983333111587448,468.8k,227,465.5k,47,4.4k,
630604820,,465k,341,450.9k,72,1.8k,
947686257505463058,https://www.airbnb.com/rooms/947686257505463058,447.7k,243,447.7k,46,4k,
1359347220419398756,https://www.airbnb.com/rooms/1359347220419398756,584.9k,185,444.3k,50,4.8k,
760626188903670827,https://www.airbnb.com/rooms/760626188903670827,460.9k,352,444.1k,76,1.7k,
695963385836242013,https://www.airbnb.com/rooms/695963385836242013,556.8k,288,437.3k,78,2k,
1327479357920859251,https://www.airbnb.com/rooms/1327479357920859251,436.6k,256,436.6k,54,3.1k,
52382951,https://www.airbnb.com/rooms/52382951,430k,365,430k,62,1.9k,2
47546211,https://www.airbnb.com/rooms/47546211,534.9k,269,427.1k,74,2.1k,
41087431,https://www.airbnb.com/rooms/41087431,468.3k,336,424.7k,78,1.6k,
738847765203671117,https://www.airbnb.com/rooms/738847765203671117,472.8k,317,418.8k,79,1.7k,
52545071,https://www.airbnb.com/rooms/52545071,454.3k,328,413.2k,79,1.6k,
43120272,https://www.airbnb.com/rooms/43120272,485.2k,254,411.6k,83,1.9k,
607450180569616880,https://www.airbnb.com/rooms/607450180569616880,482.5k,318,410.6k,65,2k,
1120859172830551597,https://www.airbnb.com/rooms/1120859172830551597,485.5k,319,409.4k,83,1.5k,
1141152298828749123,https://www.airbnb.com/rooms/1141152298828749123,407.4k,272,406.6k,82,1.8k,
1065994193644530610,https://www.airbnb.com/rooms/1065994193644530610,456.9k,322,403.1k,85,1.5k,
1066399828336704016,https://www.airbnb.com/rooms/1066399828336704016,402.7k,365,402.7k,88,1.3k,
842401848124034523,https://www.airbnb.com/rooms/842401848124034523,400k,362,395.5k,74,1.5k,
1248308717424363235,https://www.airbnb.com/rooms/1248308717424363235,393.9k,365,393.9k,82,1.3k,
1278086793923919965,https://www.airbnb.com/rooms/1278086793923919965,494.5k,238,391.7k,39,4.3k,
49411605,https://www.airbnb.com/rooms/49411605,448.6k,321,390.5k,75,1.6k,
1141019716590861323,https://www.airbnb.com/rooms/1141019716590861323,455.3k,295,384.3k,71,1.8k,
1293366180679607978,https://www.airbnb.com/rooms/1293366180679607978,497.5k,191,380.3k,47,4.2k,
1189751492020123635,https://www.airbnb.com/rooms/1189751492020123635,510.5k,249,378.9k,97,1.6k,
1315743730691218824,https://www.airbnb.com/rooms/1315743730691218824,409.5k,220,374.5k,40,4.3k,
402294594,,415.6k,263,371.6k,59,2.4k,
1255833177682588745,https://www.airbnb.com/rooms/1255833177682588745,371.1k,360,371.1k,71,1.5k,
1234575867823890634,https://www.airbnb.com/rooms/1234575867823890634,471.3k,208,368.3k,85,2.1k,
736597806555643901,https://www.airbnb.com/rooms/736597806555643901,484.2k,279,367.8k,61,2.2k,
1080092622379241143,https://www.airbnb.com/rooms/1080092622379241143,397.3k,323,365k,77,1.5k,
1191740190119636405,https://www.airbnb.com/rooms/1191740190119636405,373.5k,261,364.8k,82,1.7k,
1111413113565263079,https://www.airbnb.com/rooms/1111413113565263079,363.7k,332,362.4k,67,1.6k,
1252885063641252427,https://www.airbnb.com/rooms/1252885063641252427,359.8k,358,359.8k,62,1.6k,
1303463564063179667,https://www.airbnb.com/rooms/1303463564063179667,485k,223,350.9k,61,2.6k,
1014894465005034339,https://www.airbnb.com/rooms/1014894465005034339,367k,325,349.6k,42,2.6k,
964944015418224717,https://www.airbnb.com/rooms/964944015418224717,350k,364,349.5k,77,1.2k,2
1142038126917727009,https://www.airbnb.com/rooms/1142038126917727009,626.8k,208,349.4k,46,3.7k,
1262380432343192441,https://www.airbnb.com/rooms/1262380432343192441,349.2k,343,349.2k,44,2.3k,
52835157,https://www.airbnb.com/rooms/52835157,348.9k,365,348.9k,88,1.1k,
735909769812027797,https://www.airbnb.com/rooms/735909769812027797,378.3k,340,347.4k,73,1.4k,
800420530091204305,https://www.airbnb.com/rooms/800420530091204305,417.9k,264,344k,68,1.9k,
1060592356091581552,https://www.airbnb.com/rooms/1060592356091581552,343.8k,363,341.6k,78,1.2k,
638750245797196461,https://www.airbnb.com/rooms/638750245797196461,405.1k,302,340.4k,78,1.4k,
964983214354600480,https://www.airbnb.com/rooms/964983214354600480,491.4k,209,337.6k,75,2.2k,
